vector_size=64, window=14, alpha=0.00015028109301124998, min_alpha=0.0095363989748046, negative=6, sg=1, score=24.406220628175042
vector_size=64, window=13, alpha=0.00027181258914478056, min_alpha=0.008837229528330152, negative=9, sg=1, score=24.2372695663205
vector_size=64, window=10, alpha=0.005837358589689249, min_alpha=0.009801434620074805, negative=7, sg=1, score=24.337025654036662
vector_size=64, window=10, alpha=0.010236205379409969, min_alpha=0.0002572047128993597, negative=17, sg=1, score=23.497459967824337
vector_size=64, window=14, alpha=0.006678399254834664, min_alpha=0.009712407285434493, negative=7, sg=1, score=24.34855814972639
vector_size=64, window=14, alpha=0.008572343559091653, min_alpha=0.004661207333403757, negative=7, sg=1, score=24.26033455769996
vector_size=32, window=15, alpha=0.018136580609672718, min_alpha=0.009864725669041384, negative=8, sg=1, score=23.920125934852933
vector_size=64, window=11, alpha=0.006596003655208294, min_alpha=0.007648682919886276, negative=7, sg=1, score=24.16634471782866
vector_size=256, window=10, alpha=0.0043970354228662165, min_alpha=0.009933100562537493, negative=9, sg=1, score=23.78634898485207
vector_size=64, window=14, alpha=0.03236642626326829, min_alpha=0.0052000108527277085, negative=8, sg=1, score=24.972466166540773
vector_size=64, window=14, alpha=0.029501907877763245, min_alpha=0.00526618808517871, negative=6, sg=1, score=24.942481677747473
vector_size=64, window=15, alpha=0.03796006929472009, min_alpha=0.0012552482083550108, negative=5, sg=1, score=25.05607676029131
vector_size=256, window=15, alpha=0.040263975889620454, min_alpha=0.0011218539989410873, negative=5, sg=1, score=24.43389861783039

vector_size=64, window=5, alpha=0.0022136638513848266, min_alpha=0.002119304862608393, negative=12, sg=0, score=21.495418716087254
vector_size=256, window=11, alpha=0.023698607191354523, min_alpha=0.00013883058580337269, negative=16, sg=0, score=29.026715026265258
vector_size=32, window=4, alpha=0.06835742089943594, min_alpha=0.0006436105587499982, negative=8, sg=0, score=23.03212376674374
vector_size=512, window=4, alpha=0.002141489000870648, min_alpha=0.00020186589438668442, negative=5, sg=0, score=22.0397525126425
vector_size=512, window=4, alpha=0.00029459439008818665, min_alpha=0.0009843777456809452, negative=6, sg=0, score=21.206529699059526
vector_size=256, window=15, alpha=0.04602559085050729, min_alpha=0.003602383398289084, negative=8, sg=0, score=26.869561707501312
vector_size=512, window=8, alpha=0.002052089903554195, min_alpha=0.00599340698447942, negative=14, sg=0, score=30.018509655582015
vector_size=512, window=15, alpha=0.0024554637692566577, min_alpha=0.0014223036206183863, negative=8, sg=0, score=26.235274444566176
vector_size=32, window=11, alpha=0.03260664750037969, min_alpha=0.0003516748871861009, negative=19, sg=0, score=23.535517203600445
vector_size=32, window=15, alpha=0.027074738052229475, min_alpha=0.00010266434034581733, negative=7, sg=0, score=23.625470669980338
vector_size=128, window=8, alpha=0.0002662357515424989, min_alpha=0.00837281180140169, negative=13, sg=0, score=25.20888232818023
vector_size=256, window=10, alpha=0.008950968111266095, min_alpha=0.009823638482950219, negative=17, sg=0, score=26.653327413318877
vector_size=256, window=8, alpha=0.009037585900954416, min_alpha=0.004412011325997848, negative=14, sg=0, score=28.88371207971261
vector_size=128, window=11, alpha=0.0006043952389661012, min_alpha=0.00042095148594515096, negative=16, sg=0, score=19.282332793228118
vector_size=64, window=13, alpha=0.00925344794316271, min_alpha=0.00011463682332577848, negative=11, sg=0, score=25.80799547926169
vector_size=512, window=7, alpha=0.0007561080304689923, min_alpha=0.00023233777676432392, negative=20, sg=0, score=11.606880286928494
vector_size=256, window=6, alpha=0.00010305700579963783, min_alpha=0.002942943438423272, negative=15, sg=0, score=26.566833695645908
vector_size=512, window=12, alpha=0.016355113907939704, min_alpha=0.0009485941823274363, negative=10, sg=0, score=30.179387970453746
vector_size=512, window=13, alpha=0.0067563088532726625, min_alpha=0.0010056702351393721, negative=10, sg=0, score=20.744076621901364
vector_size=512, window=13, alpha=0.004886485281044684, min_alpha=0.0017372577252876692, negative=10, sg=0, score=28.28344567906218
vector_size=512, window=9, alpha=0.0010764015228497885, min_alpha=0.00507396664628974, negative=13, sg=0, score=29.716358268511094
vector_size=512, window=9, alpha=0.0012036353752830937, min_alpha=0.005118192322925179, negative=13, sg=0, score=29.737116760752613
vector_size=512, window=9, alpha=0.0013409521799594055, min_alpha=0.0062139312300320175, negative=11, sg=0, score=30.147096982522502
vector_size=512, window=7, alpha=0.01592939685173871, min_alpha=0.006943005709787554, negative=10, sg=0, score=30.012166782952665
vector_size=512, window=10, alpha=0.004671299874887369, min_alpha=0.002642554255506753, negative=11, sg=0, score=28.487570852770393
vector_size=512, window=12, alpha=0.0013783570257587965, min_alpha=0.0011548448049223969, negative=9, sg=0, score=24.460999982701257
vector_size=64, window=8, alpha=0.0005037123376136688, min_alpha=0.0006729078001437394, negative=12, sg=0, score=19.166431211546335
vector_size=512, window=6, alpha=0.0036590269280629088, min_alpha=0.006976310559892176, negative=14, sg=0, score=23.771356740455417
vector_size=128, window=10, alpha=0.015948096981889426, min_alpha=0.0006769124216686207, negative=11, sg=0, score=27.573620569359313
vector_size=64, window=6, alpha=0.002004007438041504, min_alpha=0.0021439261148754416, negative=18, sg=0, score=22.02303039389239
vector_size=512, window=12, alpha=0.0003842551765839798, min_alpha=0.001923373923199873, negative=12, sg=0, score=26.199523707928012
vector_size=512, window=7, alpha=0.016917268727142342, min_alpha=0.0064784380727991595, negative=10, sg=0, score=29.969496548900665
vector_size=512, window=7, alpha=0.055177793736545265, min_alpha=0.0035019921406005193, negative=9, sg=0, score=27.3948668861685
vector_size=512, window=9, alpha=0.01856428049256417, min_alpha=0.006144028336623063, negative=9, sg=0, score=29.66215553876937
vector_size=32, window=3, alpha=0.08200104818049099, min_alpha=0.009965087022239237, negative=14, sg=0, score=20.14323359646644
vector_size=512, window=5, alpha=0.0026843567289918887, min_alpha=0.0039581467707367965, negative=11, sg=0, score=28.000899534663798
vector_size=512, window=8, alpha=0.012305214538395056, min_alpha=0.00767366758283357, negative=7, sg=0, score=29.94700818230569
vector_size=512, window=5, alpha=0.04192426908801661, min_alpha=0.0025950450405215725, negative=15, sg=0, score=25.654036661803797
vector_size=128, window=11, alpha=0.0017631524942768378, min_alpha=0.0014985540923795628, negative=5, sg=0, score=24.14558622558715
vector_size=32, window=7, alpha=0.0036506979259443846, min_alpha=0.0004932769801267486, negative=7, sg=0, score=20.042324259181306
vector_size=512, window=14, alpha=0.006167549437507805, min_alpha=0.005184397500856171, negative=10, sg=0, score=29.947584807090177
vector_size=512, window=7, alpha=0.022071446569023837, min_alpha=0.007116814484808707, negative=10, sg=0, score=29.526648714415042
vector_size=512, window=9, alpha=0.013738536252072477, min_alpha=0.006098595025073526, negative=8, sg=0, score=30.04445777088391
vector_size=512, window=10, alpha=0.027018489018478718, min_alpha=0.003350432008895306, negative=8, sg=0, score=29.125894489196934
vector_size=512, window=9, alpha=0.012459715405518438, min_alpha=0.008690132351131549, negative=6, sg=0, score=29.70194264889893
vector_size=64, window=9, alpha=0.013401375088343966, min_alpha=0.0046044850630392, negative=8, sg=0, score=25.70823939154553
vector_size=256, window=8, alpha=0.007545131562580414, min_alpha=0.0007766846780953466, negative=9, sg=0, score=20.52784232771893
vector_size=512, window=11, alpha=0.038103637127728816, min_alpha=0.006200560163546309, negative=12, sg=0, score=27.704514395437744
vector_size=32, window=10, alpha=0.0009270790831291406, min_alpha=0.00029545768939055175, negative=11, sg=0, score=17.373704756577848
vector_size=512, window=8, alpha=0.09945989816631524, min_alpha=0.002344689019697747, negative=13, sg=0, score=26.38404363896369
vector_size=1024, window=11, alpha=0.05691438259277922, min_alpha=0.0006799561936750507, negative=13, sg=0, score=27.31586929069385
vector_size=256, window=12, alpha=0.010253939049952199, min_alpha=0.003988265741153029, negative=8, sg=0, score=24.49502084498596
vector_size=1024, window=7, alpha=0.0011014379062741116, min_alpha=0.00147705034976573, negative=10, sg=0, score=23.993933907267202
vector_size=512, window=11, alpha=0.0001760780744037365, min_alpha=0.00032405896807003484, negative=20, sg=0, score=17.004088269722008
